ym,year,month,tai_cpi
2000m1,2000,1,80.91
2000m2,2000,2,82.11
2000m3,2000,3,80.7
2000m4,2000,4,81.37
2000m5,2000,5,81.88
2000m6,2000,6,81.77
2000m7,2000,7,81.31999999999999
2000m8,2000,8,81.56999999999999
2000m9,2000,9,82.70999999999999
2000m10,2000,10,82.73
2000m11,2000,11,83.5
2000m12,2000,12,82.5
2001m1,2001,1,82.81999999999999
2001m2,2001,2,81.27
2001m3,2001,3,81.05
2001m4,2001,4,81.72
2001m5,2001,5,81.7
2001m6,2001,6,81.65000000000001
2001m7,2001,7,81.40000000000001
2001m8,2001,8,81.94
2001m9,2001,9,82.29000000000001
2001m10,2001,10,83.54000000000001
2001m11,2001,11,82.55
2001m12,2001,12,81.11
2002m1,2002,1,81.43000000000001
2002m2,2002,2,82.42
2002m3,2002,3,81.06
2002m4,2002,4,81.89
2002m5,2002,5,81.48999999999999
2002m6,2002,6,81.73999999999999
2002m7,2002,7,81.75
2002m8,2002,8,81.72
2002m9,2002,9,81.66
2002m10,2002,10,82.12
2002m11,2002,11,82.09
2002m12,2002,12,81.73999999999999
2003m1,2003,1,82.31
2003m2,2003,2,81.17
2003m3,2003,3,80.91
2003m4,2003,4,81.79000000000001
2003m5,2003,5,81.75
2003m6,2003,6,81.28
2003m7,2003,7,80.94
2003m8,2003,8,81.23999999999999
2003m9,2003,9,81.48999999999999
2003m10,2003,10,82.06999999999999
2003m11,2003,11,81.70999999999999
2003m12,2003,12,81.69
2004m1,2004,1,82.31999999999999
2004m2,2004,2,81.69
2004m3,2004,3,81.63
2004m4,2004,4,82.56999999999999
2004m5,2004,5,82.48999999999999
2004m6,2004,6,82.69
2004m7,2004,7,83.63
2004m8,2004,8,83.31
2004m9,2004,9,83.76000000000001
2004m10,2004,10,84.03
2004m11,2004,11,82.95
2004m12,2004,12,83.01000000000001
2005m1,2005,1,82.72
2005m2,2005,2,83.27
2005m3,2005,3,83.51000000000001
2005m4,2005,4,83.93000000000001
2005m5,2005,5,84.39
2005m6,2005,6,84.66
2005m7,2005,7,85.65000000000001
2005m8,2005,8,86.28
2005m9,2005,9,86.41
2005m10,2005,10,86.34
2005m11,2005,11,85.03
2005m12,2005,12,84.84
2006m1,2006,1,84.94
2006m2,2006,2,84.09
2006m3,2006,3,83.86
2006m4,2006,4,84.95999999999999
2006m5,2006,5,85.73
2006m6,2006,6,86.13
2006m7,2006,7,86.31999999999999
2006m8,2006,8,85.8
2006m9,2006,9,85.33
2006m10,2006,10,85.31
2006m11,2006,11,85.23999999999999
2006m12,2006,12,85.42
2007m1,2007,1,85.23999999999999
2007m2,2007,2,85.56
2007m3,2007,3,84.56
2007m4,2007,4,85.54000000000001
2007m5,2007,5,85.70999999999999
2007m6,2007,6,86.23999999999999
2007m7,2007,7,86.04000000000001
2007m8,2007,8,87.18000000000001
2007m9,2007,9,87.98999999999999
2007m10,2007,10,89.86
2007m11,2007,11,89.33
2007m12,2007,12,88.26000000000001
2008m1,2008,1,87.75
2008m2,2008,2,88.87
2008m3,2008,3,87.91
2008m4,2008,4,88.86
2008m5,2008,5,88.90000000000001
2008m6,2008,6,90.53
2008m7,2008,7,91.04000000000001
2008m8,2008,8,91.27
2008m9,2008,9,90.72
2008m10,2008,10,92
2008m11,2008,11,91.05
2008m12,2008,12,89.38
2009m1,2009,1,89.04000000000001
2009m2,2009,2,87.68000000000001
2009m3,2009,3,87.78
2009m4,2009,4,88.45
2009m5,2009,5,88.81999999999999
2009m6,2009,6,88.73
2009m7,2009,7,88.91
2009m8,2009,8,90.52
2009m9,2009,9,89.91
2009m10,2009,10,90.26000000000001
2009m11,2009,11,89.59
2009m12,2009,12,89.16
2010m1,2010,1,89.27
2010m2,2010,2,89.73999999999999
2010m3,2010,3,88.89
2010m4,2010,4,89.64
2010m5,2010,5,89.48999999999999
2010m6,2010,6,89.8
2010m7,2010,7,90.08
2010m8,2010,8,90.09
2010m9,2010,9,90.18000000000001
2010m10,2010,10,90.78
2010m11,2010,11,90.95
2010m12,2010,12,90.26000000000001
2011m1,2011,1,90.25
2011m2,2011,2,90.93000000000001
2011m3,2011,3,90.13
2011m4,2011,4,90.8
2011m5,2011,5,90.98
2011m6,2011,6,91.54000000000001
2011m7,2011,7,91.27
2011m8,2011,8,91.3
2011m9,2011,9,91.42
2011m10,2011,10,91.91
2011m11,2011,11,91.89
2011m12,2011,12,92.09
2012m1,2012,1,92.38
2012m2,2012,2,91.15000000000001
2012m3,2012,3,91.27
2012m4,2012,4,92.11
2012m5,2012,5,92.56999999999999
2012m6,2012,6,93.16
2012m7,2012,7,93.52
2012m8,2012,8,94.43000000000001
2012m9,2012,9,94.12
2012m10,2012,10,94.05
2012m11,2012,11,93.34999999999999
2012m12,2012,12,93.58
2013m1,2013,1,93.41
2013m2,2013,2,93.84999999999999
2013m3,2013,3,92.5
2013m4,2013,4,93.08
2013m5,2013,5,93.25
2013m6,2013,6,93.72
2013m7,2013,7,93.58
2013m8,2013,8,93.69
2013m9,2013,9,94.92
2013m10,2013,10,94.66
2013m11,2013,11,93.98
2013m12,2013,12,93.89
2014m1,2014,1,94.18000000000001
2014m2,2014,2,93.81
2014m3,2014,3,93.98999999999999
2014m4,2014,4,94.62
2014m5,2014,5,94.76000000000001
2014m6,2014,6,95.25
2014m7,2014,7,95.22
2014m8,2014,8,95.64
2014m9,2014,9,95.59
2014m10,2014,10,95.66
2014m11,2014,11,94.78
2014m12,2014,12,94.45999999999999
2015m1,2015,1,93.3
2015m2,2015,2,93.62
2015m3,2015,3,93.41
2015m4,2015,4,93.84
2015m5,2015,5,94.06999999999999
2015m6,2015,6,94.72
2015m7,2015,7,94.62
2015m8,2015,8,95.20999999999999
2015m9,2015,9,95.87
2015m10,2015,10,95.95
2015m11,2015,11,95.29000000000001
2015m12,2015,12,94.58
2016m1,2016,1,94.05
2016m2,2016,2,95.88
2016m3,2016,3,95.29000000000001
2016m4,2016,4,95.59999999999999
2016m5,2016,5,95.23
2016m6,2016,6,95.56999999999999
2016m7,2016,7,95.79000000000001
2016m8,2016,8,95.75
2016m9,2016,9,96.19
2016m10,2016,10,97.58
2016m11,2016,11,97.17
2016m12,2016,12,96.18000000000001
2017m1,2017,1,96.16
2017m2,2017,2,95.81999999999999
2017m3,2017,3,95.45999999999999
2017m4,2017,4,95.69
2017m5,2017,5,95.8
2017m6,2017,6,96.53
2017m7,2017,7,96.53
2017m8,2017,8,96.67
2017m9,2017,9,96.66
2017m10,2017,10,97.26000000000001
2017m11,2017,11,97.5
2017m12,2017,12,97.34999999999999
2018m1,2018,1,97.02
2018m2,2018,2,97.93000000000001
2018m3,2018,3,96.98
2018m4,2018,4,97.61
2018m5,2018,5,97.48
2018m6,2018,6,97.88
2018m7,2018,7,98.22
2018m8,2018,8,98.16
2018m9,2018,9,98.31999999999999
2018m10,2018,10,98.39
2018m11,2018,11,97.78
2018m12,2018,12,97.29000000000001
2019m1,2019,1,97.19
2019m2,2019,2,98.14
2019m3,2019,3,97.52
2019m4,2019,4,98.25
2019m5,2019,5,98.39
2019m6,2019,6,98.70999999999999
2019m7,2019,7,98.59999999999999
2019m8,2019,8,98.58
2019m9,2019,9,98.73
2019m10,2019,10,98.75
2019m11,2019,11,98.34999999999999
2019m12,2019,12,98.41
2020m1,2020,1,99
2020m2,2020,2,97.94
2020m3,2020,3,97.5
2020m4,2020,4,97.3
2020m5,2020,5,97.2
2020m6,2020,6,97.98
2020m7,2020,7,98.09999999999999
2020m8,2020,8,98.25
2020m9,2020,9,98.16
2020m10,2020,10,98.48999999999999
2020m11,2020,11,98.44
2020m12,2020,12,98.45
2021m1,2021,1,98.81
2021m2,2021,2,99.29000000000001
2021m3,2021,3,98.69
2021m4,2021,4,99.34999999999999
2021m5,2021,5,99.58
2021m6,2021,6,99.77
2021m7,2021,7,99.97
2021m8,2021,8,100.55
2021m9,2021,9,100.71
2021m10,2021,10,101
2021m11,2021,11,101.24
2021m12,2021,12,101.04
2022m1,2022,1,101.61
2022m2,2022,2,101.6
2022m3,2022,3,101.92
2022m4,2022,4,102.7
2022m5,2022,5,102.96
2022m6,2022,6,103.35
2022m7,2022,7,103.32
2022m8,2022,8,103.24
2022m9,2022,9,103.49
2022m10,2022,10,103.77
2022m11,2022,11,103.62
2022m12,2022,12,103.78
2023m1,2023,1,104.71
2023m2,2023,2,104.06
2023m3,2023,3,104.32
2023m4,2023,4,105.11
2023m5,2023,5,105.04
2023m6,2023,6,105.16
2023m7,2023,7,105.26
2023m8,2023,8,105.85
2023m9,2023,9,106.52
2023m10,2023,10,106.92
2023m11,2023,11,106.62
2023m12,2023,12,106.58
